Year,ID,Type,Lat,Lon,Species_1,Species_2,Height,Orientation,Eggs,Chicks,Deaths
2024,31,Nest,51.4897929,7.4168958,BT,,232,95,8,5,0
2024,32,iButton,51.4900588,7.4168273,BT,,206,62,9,7,
2024,33,Nest,51.4904289,7.4170508,GT,,225,138,8,8,
2024,34,iButton,51.490751,7.4162194,,,253,143,8,6,
2024,35,Nest,51.4911658,7.4160816,,,251,91,5,0,0
2024,36,iButton,51.4915905,7.4158817,GT,,241,96,7,0,0
2024,37,Nest,51.4918367,7.4160259,GT,,237,71,7,0,0
2024,38,iButton,51.4920475,7.415792,GT,,238,126,9,6,1
2024,39,Nest,51.4946192,7.4152571,GT,,232,105,10,6,
2024,40,Nest,51.4948474,7.4160165,BT,,247,97,10,7,2
2024,41,iButton,51.494981,7.4167038,GT,,252,222,7,0,0
2024,42,Nest,51.4949914,7.4170929,BT,,257,162,7,6,0
2024,43,iButton,51.4949369,7.4176547,GT,,258,103,9,7,1
2024,44,Nest,51.4951107,7.4178073,BT,,252,147,7,7,0
2024,45,iButton,51.4954005,7.417631,,,247,28,0,0,0
2024,46,Nest,51.4955896,7.4174623,GT,,253,128,8,7,0
2024,47,iButton,51.4958227,7.4174758,GT,,245,137,9,8,0
2024,48,Nest,51.49614,7.4173654,BT,,250,128,8,7,0
2024,49,Nest,51.4965455,7.4176629,GT,,261,97,8,5,0
2024,50,iButton,51.496616,7.4182663,GT,,239,191,9,7,0
2024,51,iButton,51.4966645,7.4187636,BT,,265,139,4,0,0
2024,52,iButton,51.4962982,7.4188461,GT,,257,79,8,0,0
2024,53,Nest,51.4959337,7.4187263,BT,,245,113,8,7,0
2024,54,iButton,51.4953075,7.4188385,BT,,232,73,12,7,0
2024,55,iButton,51.4961481,7.4170227,BT,,205,133,10,8,0
2024,56,iButton,51.4964391,7.4169276,GT,,240,111,7,4,0
2024,57,Nest,51.4962307,7.4153776,BT,,248,110,8,7,0
2024,58,iButton,51.4956935,7.4123794,GT,,265,28,7,0,0
2024,59,Nest,51.495665,7.4120252,BT,,274,23,11,10,0
2024,60,iButton,51.4955573,7.4116613,GT,,238,67,11,6,0
2024,61,Nest,51.4917348,7.4084817,BT,,216,115,10,9,0
2024,62,iButton,51.4915492,7.4092416,,,230,89,0,0,0
2024,63,Nest,51.4921362,7.4095661,,,211,115,0,0,0
2024,64,iButton,51.4919337,7.4098873,BT,,235,134,9,7,
2024,65,Nest,51.4918438,7.4108525,BT,,217,265,9,0,0
2024,66,iButton,51.491812,7.4113301,,,215,24,0,0,0
2024,67,Nest,51.4917138,7.411971,,,218,139,0,0,0
2024,68,Nest,51.4920203,7.4123595,,,217,291,2,0,0
2024,69,Nest,51.4922961,7.4119726,GT,,209,358,8,3,0
2024,70,Nest,51.492099,7.4128592,,,205,281,5,0,0
2024,71,iButton,51.4924686,7.4138171,GT,,200,85,7,7,0
2024,73,iButton,51.492969,7.4143182,GT,,205,85,8,5,1
2024,74,Nest,51.4921591,7.414265,BT,,222,164,9,5,1
2025,1,iButton,51.4895989,7.413253,,,221,76,0,0,0
2025,2,Nest,51.4902989,7.4134612,GT,,206,301,9,0,0
2025,3,Nest,51.4900072,7.4135486,,,199,337,0,0,0
2025,4,Nest,51.4897498,7.4136781,BT,,204,302,9,10,0
2025,5,Nest,51.4902361,7.4139424,,,204,350,0,0,0
2025,6,Nest,51.489908,7.4141005,,,201,247,0,0,0
2025,7,Nest,51.4903982,7.4143677,,,210,24,0,0,0
2025,8,Nest,51.4901354,7.4144425,BT,,214,340,11,6,0
2025,9,iButton,51.4905186,7.4154987,BT,,237,184,11,10,0
2025,10,Nest,51.4901223,7.4155125,,,257,203,0,0,0
2025,11,Nest,51.4899019,7.4154561,,,244,160,0,0,0
2025,12,Nest,51.4897635,7.4150933,,,248,161,0,0,0
2025,13,iButton,51.4897245,7.414827,BT,,232,126,8,7,0
2025,14,Nest,51.4894256,7.4142147,,,258,119,10,0,0
2025,15,Nest,51.4892326,7.413812,,,248,159,0,0,0
2025,16,Nest,51.4890061,7.413453,,,239,179,10,8,0
2025,17,iButton,51.4886689,7.4135006,,,223,151,0,0,0
2025,18,Nest,51.4884271,7.4136226,,,243,162,0,5,0
2025,19,Nest,51.4881427,7.4137648,,,239,202,6,3,
2025,20,Nest,51.4878222,7.4138652,BT,,230,208,7,7,0
2025,21,iButton,51.4876499,7.414214,GT,,220,132,8,7,0
2025,22,Nest,51.4875862,7.4148099,,,224,64,8,,0
2025,23,Nest,51.4875365,7.415439,,,221,49,13,7,0
2025,24,Nest,51.4876277,7.4159374,BT,,216,95,11,12,0
2025,25,Nest,51.4875863,7.4164704,BT,,231,101,6,6,0
2025,26,iButton,51.4878767,7.4166432,GT,,269,30,8,5,0
2025,27,Nest,51.4880366,7.4171119,,,267,34,9,6,1
2025,28,Nest,51.4885865,7.4175333,,,225,150,7,7,0
2025,29,Nest,51.488907,7.4174567,BT,,252,156,10,6,0
2025,30,iButton,51.4892898,7.4174946,,,254,27,10,8,0
2025,31,Nest,51.4897929,7.4168958,,,232,95,11,8,0
2025,32,Nest,51.4900588,7.4168273,,,206,62,7,6,0
2025,33,Nest,51.4904289,7.4170508,,,225,138,0,0,0
2025,34,iButton,51.490751,7.4162194,GT,,253,143,6,7,0
2025,35,Nest,51.4911658,7.4160816,,,251,91,0,0,0
2025,36,Nest,51.4915905,7.4158817,,,241,96,11,6,0
2025,37,Nest,51.4918367,7.4160259,,,237,71,0,0,0
2025,38,iButton,51.4920475,7.415792,GT,,238,126,6,5,0
2025,39,Nest,51.4946192,7.4152571,BT,,232,105,3,0,0
2025,40,Nest,51.4948474,7.4160165,BT,,247,97,11,9,0
2025,41,Nest,51.494981,7.4167038,GT,,252,222,9,0,0
2025,42,Nest,51.4949914,7.4170929,BT,,257,162,9,9,0
2025,43,iButton,51.4949369,7.4176547,GT,,258,103,9,9,0
2025,44,Nest,51.4951107,7.4178073,,,252,147,0,0,0
2025,45,Nest,51.4954005,7.417631,,,247,28,0,0,0
2025,46,Nest,51.4955896,7.4174623,,,250,128,4,3,0
2025,47,iButton,51.4958227,7.4174758,BT,,245,137,12,11,9
2025,48,Nest,51.49614,7.4173654,GT,,253,128,8,6,1
2025,49,Nest,51.4965455,7.4176629,BT,,261,97,8,8,6
2025,50,Nest,51.496616,7.4182663,GT,,239,191,9,3,0
2025,51,Nest,51.4966645,7.4187636,BT,,265,139,9,7,0
2025,52,iButton,51.4962982,7.4188461,,,257,79,0,0,0
2025,53,Nest,51.4959337,7.4187263,BT,,245,113,12,11,0
2025,54,iButton,51.4953075,7.4188385,GT,,232,73,7,8,0
2025,55,Nest,51.4961481,7.4170227,BT,,205,133,9,9,0
2025,56,iButton,51.4964391,7.4169276,BT,,240,111,8,8,0
2025,57,Nest,51.4962307,7.4153776,GT,,248,110,12,5,0
2025,58,iButton,51.4956935,7.4123794,,,265,28,0,0,0
2025,59,Nest,51.495665,7.4120252,GT,,274,23,10,9,0
2025,60,Nest,51.4955573,7.4116613,,,238,67,0,0,0
2025,61,Nest,51.4917348,7.4084817,,,216,115,0,0,0
2025,62,Nest,51.4915492,7.4092416,BT,,230,89,8,0,0
2025,63,Nest,51.4921362,7.4095661,GT,,211,115,9,6,0
2025,64,iButton,51.4919337,7.4098873,BT,,235,134,7,0,0
2025,65,Nest,51.4918438,7.4108525,GT,,217,265,10,2,0
2025,66,Nest,51.491812,7.4113301,,,215,24,0,0,0
2025,67,Nest,51.4917138,7.411971,,,218,139,0,0,0
2025,68,Nest,51.4920203,7.4123595,,,217,291,0,0,0
2025,69,iButton,51.4922961,7.4119726,,,209,358,9,,0
2025,70,Nest,51.492099,7.4128592,GT,,205,281,7,5,0
2025,71,iButton,51.4924686,7.4138171,,,200,85,0,0,0
2025,72,Nest,51.4921262,7.4135071,GT,,263,167,5,0,0
2025,73,Nest,51.492969,7.4143182,GT,,205,85,5,,0
2025,74,Nest,51.4921591,7.414265,,,222,164,8,5,1
2025,75,Nest,51.4923322,7.4151217,GT,,279,164,8,6,0
2025,76,Nest,51.4931868,7.416648,,,255,192,0,0,0
2025,77,Nest,51.4936313,7.4168654,GT,,330,93,5,3,0
2025,78,Nest,51.4938319,7.4173671,GT,,237,109,3,0,0
2025,79,Nest,51.4939278,7.4184046,GT,,230,177,9,3,0
2025,80,Nest,51.4934021,7.4185734,,,244,211,0,0,0
2025,81,Nest,51.4932328,7.417408,,,242,186,0,0,0
2025,S1,Intelligent,51.4913214,7.412114,,,222,154,9,5,0
2025,S2,Intelligent,51.4913976,7.4125208,,,261,318,5,0,0
2025,S3,Intelligent,51.4924691,7.4129748,,,227,40,0,0,0
2026,1,iButton,51.4895989,7.413253,GT,,221,76,7,5,0
2026,2,Nest,51.4902989,7.4134612,BT,,206,301,8,2,
2026,3,Nest,51.4900072,7.4135486,GT,,199,337,6,5,0
2026,4,Nest,51.4897498,7.4136781,,,204,302,0,0,0
2026,5,Nest,51.4902361,7.4139424,,,204,350,0,0,0
2026,6,Nest,51.489908,7.4141005,,,201,247,0,0,0
2026,7,Nest,51.4903982,7.4143677,BT,,210,24,8,5,0
2026,8,Nest,51.4901354,7.4144425,BT,,214,340,,0,0
2026,9,iButton,51.4905186,7.4154987,GT,,237,184,9,7,1
2026,10,Nest,51.4901223,7.4155125,GT,,257,203,8,5,
2026,11,Nest,51.4899019,7.4154561,GT,,244,160,9,7,
2026,12,Nest,51.4897635,7.4150933,GT,,248,161,7,5,2
2026,13,iButton,51.4897245,7.414827,BT,,232,126,10,11,2
2026,14,Nest,51.4894256,7.4142147,BT,,258,119,12,10,
2026,15,Nest,51.4892326,7.413812,GT,,248,159,7,,
2026,16,Nest,51.4890061,7.413453,GT,,239,179,7,,
2026,17,iButton,51.4886689,7.4135006,BT,,223,151,9,7,
2026,18,Nest,51.4884271,7.4136226,GT,,243,162,12,6,
2026,19,Nest,51.4881427,7.4137648,BT,,239,202,10,8,
2026,20,Nest,51.4878222,7.4138652,GT,,230,208,9,7,0
2026,21,iButton,51.4876499,7.414214,BT,,220,132,8,6,0
2026,22,Nest,51.4875862,7.4148099,GT,,224,64,8,6,0
2026,23,Nest,51.4875365,7.415439,BT,,221,49,11,7,0
2026,24,Nest,51.4876277,7.4159374,GT,,216,95,8,0,0
2026,25,Nest,51.4875863,7.4164704,GT,,231,101,6,6,
2026,26,iButton,51.4878767,7.4166432,GT,GT,269,30,8,7,
2026,27,Nest,51.4880366,7.4171119,GT,,267,34,6,5,0
2026,28,Nest,51.4885865,7.4175333,BT,,225,150,10,4,
2026,29,Nest,51.488907,7.4174567,GT,,252,156,7,6,0
2026,30,iButton,51.4892898,7.4174946,GT,,254,27,9,9,1
2026,31,Nest,51.4897929,7.4168958,BT,,232,95,8,9,2
2026,32,Nest,51.4900588,7.4168273,BT,,206,62,9,8,0
2026,33,Nest,51.4904289,7.4170508,GT,,225,138,6,6,0
2026,34,iButton,51.490751,7.4162194,GT,,253,143,5,4,
2026,35,Nest,51.4911658,7.4160816,GT,,251,91,6,6,
2026,36,Nest,51.4915905,7.4158817,BT,,241,96,6,5,0
2026,37,Nest,51.4918367,7.4160259,BT,,237,71,10,9,1
2026,38,iButton,51.4920475,7.415792,GT,,238,126,7,5,0
2026,39,Nest,51.4946192,7.4152571,BT,,232,105,9,9,0
2026,40,Nest,51.4948474,7.4160165,GT,GT,247,97,7,7,1
2026,41,Nest,51.494981,7.4167038,BT,,252,222,8,0,0
2026,42,Nest,51.4949914,7.4170929,,,257,162,0,0,0
2026,43,iButton,51.4949369,7.4176547,BT,,258,103,10,10,0
2026,44,Nest,51.4951107,7.4178073,GT,,252,147,9,9,0
2026,45,Nest,51.4954005,7.417631,,,247,28,0,0,0
2026,46,Nest,51.4955896,7.4174623,GT,,250,128,7,5,0
2026,47,iButton,51.4958227,7.4174758,,,245,137,6,5,4
2026,48,Nest,51.49614,7.4173654,BT,,253,128,9,8,0
2026,49,Nest,51.4965455,7.4176629,BT,,261,97,8,8,1
2026,50,Nest,51.496616,7.4182663,BT,,239,191,11,7,1
2026,51,Nest,51.4966645,7.4187636,BT,,265,139,9,8,0
2026,52,iButton,51.4962982,7.4188461,GT,,257,79,10,10,0
2026,53,Nest,51.4959337,7.4187263,GT,GT,245,113,10,6,3
2026,54,iButton,51.4953075,7.4188385,BT,,232,73,10,7,5
2026,55,Nest,51.4961481,7.4170227,,,205,133,0,0,0
2026,56,iButton,51.4964391,7.4169276,BT,,240,111,10,10,
2026,57,Nest,51.4962307,7.4153776,BT,,248,110,12,10,
2026,58,iButton,51.4956935,7.4123794,GT,,265,28,10,9,1
2026,59,Nest,51.495665,7.4120252,BT,,274,23,12,10,5
2026,60,Nest,51.4955573,7.4116613,GT,,238,67,8,8,4
2026,61,Nest,51.4917348,7.4084817,,,216,115,0,0,0
2026,62,Nest,51.4915492,7.4092416,,,230,89,0,0,0
2026,63,Nest,51.4921362,7.4095661,,,211,115,5,5,2
2026,64,iButton,51.4919337,7.4098873,GT,,235,134,7,6,1
2026,65,Nest,51.4918438,7.4108525,GT,,217,265,9,7,1
2026,66,Nest,51.491812,7.4113301,,,215,24,0,0,0
2026,67,Nest,51.4917138,7.411971,GT,,218,139,6,0,0
2026,68,Nest,51.4920203,7.4123595,,,217,291,0,0,0
2026,69,iButton,51.4922961,7.4119726,,,209,358,0,0,0
2026,70,Nest,51.492099,7.4128592,GT,,205,281,8,8,0
2026,71,iButton,51.4924686,7.4138171,GT,,200,85,9,0,
2026,72,Nest,51.4921262,7.4135071,,,263,167,0,0,0
2026,73,Nest,51.492969,7.4143182,BT,,205,85,5,4,
2026,74,Nest,51.4921591,7.414265,,,222,164,0,0,0
2026,75,Nest,51.4923322,7.4151217,BT,,279,164,9,8,
2026,76,Nest,51.4931868,7.416648,GT,,255,192,5,0,0
2026,77,Nest,51.4936313,7.4168654,,,330,93,0,0,0
2026,78,Nest,51.4938319,7.4173671,,,237,109,0,0,0
2026,79,Nest,51.4939278,7.4184046,GT,,230,177,4,4,4
2026,80,Nest,51.4934021,7.4185734,BT,,244,211,3,5,0
2026,81,Nest,51.4932328,7.417408,BT,,242,186,9,9,
2026,S1,Intelligent,51.4913214,7.412114,,,222,154,0,0,0
2026,S2,Intelligent,51.4913976,7.4125208,,,261,318,0,0,0
2026,S3,Intelligent,51.4924691,7.4129748,BT,,227,40,11,11,0
